event,theta,theta2
187,0.25223927,0.063616743
188,0.28894123,0.083479127
189,0.20799625,0.043254532
189,2.9222637,8.5396175
190,0.006524174,3.4657209e-05
191,0.20869497,0.043545684
192,0.52850539,0.27931004
193,0.19195799,0.036839962
194,0.61978646,0.38412734
195,0.0018076749,0
196,0.0040227031,8.2745029e-06
197,0.0050540078,1.7635358e-05
198,0.0046533851,1.3746355e-05
199,0.34932913,0.12202293
200,0.0019871487,0
201,0.0052846433,2.0019817e-05
202,0.0067252168,3.7320904e-05
203,0.54125143,0.29294521
204,0.0042735335,1.0355451e-05
205,0.0020211285,0
206,0.0063398896,3.2286563e-05
207,0.0055034121,2.2379907e-05
207,2.6709288,7.133853
207,2.5744673,6.6278742
208,0.0067440823,3.7575008e-05
209,0.60110609,0.36132063
210,0.0026122239,0
211,0.0031434719,1.973778e-06
212,0.003925706,7.5035303e-06
213,0.67213156,0.45175292
214,0.0043735168,1.1220011e-05
215,0.0045215053,1.2536372e-05
216,0.66000702,0.43560135
217,0.0024207065,0
218,0.0031848982,2.2359392e-06
219,0.0033974316,3.6349036e-06
220,0.0022480424,0
221,0.41825797,0.17493182
222,0.0066908351,3.6859637e-05
223,0.33973557,0.11541235
224,0.0044543625,1.1933708e-05
225,0.56685125,0.32131244
226,0.0045070176,1.240557e-05
227,0.0061537958,2.9961565e-05
228,0.0028369177,1.4046422e-07
229,0.0054485575,2.1779141e-05
230,0.50747502,0.25752298
230,2.8415421,8.0743539
230,2.8982866,8.4000574
231,0.004614694,1.3387763e-05
232,0.005066638,1.7763184e-05
233,0.3976171,0.15809145
234,0.0047121602,1.4296816e-05
235,0.16891568,0.028524601
235,2.7137607,7.364489
236,0.29623911,0.087749705
237,0.51846213,0.26879508
238,0.39494951,0.15597721
239,0.0093945846,8.0350583e-05
240,0.001561215,0
240,2.7578699,7.6058382
241,0.0070148223,4.1300094e-05
242,0.0027975445,0
243,0.0010087313,0
244,0.014415055,0.00019988618
245,0.0061887258,3.039269e-05
246,0.0010273101,0
247,0.0046476402,1.3692921e-05
248,0.00048399702,0
249,0.0038050759,6.5709649e-06
250,0.0038478672,6.8984447e-06
251,0.0075224169,4.8679118e-05
252,0.024169439,0.00057625412
253,0.0070435166,4.1703488e-05
254,0.23359457,0.054558516
255,0.075192095,0.0056459435
256,0.0022960251,0
256,2.799651,7.838038
257,0.0023150273,0
258,0.0029609006,8.5929464e-07
259,0.0096080981,8.4407911e-05
260,0.77998782,0.60837309
261,0.78777671,0.62058424
262,0.79012768,0.62429384
263,0.0044849537,1.2207172e-05
263,2.8231434,7.9701305
264,0.0045093133,1.2426269e-05
265,0.0060921003,2.9206049e-05
266,0.23672806,0.056032266
267,0.17667171,0.031204985
268,0.068648493,0.0047047079
269,0.11954759,0.014283718
270,0.096113064,0.0092298135
271,0.050909018,0.0025838204
272,0.077981796,0.0060732528
273,0.0090801112,7.4540783e-05
274,0.5082401,0.25830009
275,0.0044464715,1.1863471e-05
275,1.7301387,2.9933721
276,0.0078988192,5.4483708e-05
277,0.0036519895,5.4293895e-06
278,0.0044036943,1.1484886e-05
278,2.9111593,8.4748403
279,0.30914632,0.095563542
280,0.0027777815,0
281,0.0058373533,2.6167056e-05
282,0.00270361,0
283,0.0024615573,0
284,0.93916645,0.88202571
285,0.0038390388,6.830581e-06
286,0.004394858,1.1407139e-05
287,0.00432472,1.0795566e-05
288,0.0048193869,1.5318852e-05
289,0.0031115167,1.7738988e-06
289,2.6307651,6.9209169
290,0.0040539786,8.5271049e-06
291,0.017377512,0.0002940703
292,1.1620686,1.3503954
293,0.0054959103,2.2297392e-05
294,0.00322513,2.4938259e-06
295,0.59242965,0.35096498
296,0.0062039741,3.0581657e-05
297,0.0027750437,0
298,0.11118743,0.012354737
299,0.0029169234,6.0080455e-07
300,0.0072513008,4.4673726e-05
301,0.0091225136,7.5312617e-05
302,0.0032352953,2.5594983e-06
303,0.0035962965,5.0257107e-06
304,0.95291218,0.90803371
305,0.93847989,0.88073659
306,0.0044612139,1.1994792e-05
307,0.0059257656,2.720706e-05
308,0.0029329569,6.9459872e-07
309,0.0010618896,0
310,0.0047194923,1.436597e-05
311,0.35483671,0.12590118
312,0.63217406,0.39963613
313,0.0021468371,0
314,0.0058847414,2.6722544e-05
315,0.0011260764,0
316,0.003849977,6.914685e-06
317,0.0039047418,7.339371e-06
318,0.87432467,0.76443571
319,0.65019535,0.42274609
320,0.0044072426,1.1516149e-05
321,0.0075575429,4.9208817e-05
322,0.0058776967,2.6639681e-05
323,0.13893463,0.019294923
324,0.0016562346,0
325,0.0038798226,7.1453859e-06
326,0.0044184599,1.161515e-05
327,0.0051344015,1.8454441e-05
328,0.0031847711,2.2351296e-06
329,0.01024569,9.7066526e-05
330,0.0080757218,5.7309644e-05
330,2.5265591,6.3834932
331,0.0036683211,5.5489423e-06
332,0.0015777012,0
332,1.9300391,3.7250429
333,0.0046994936,1.4177602e-05
334,0.0044392739,1.1799515e-05
335,0.0041720862,9.4986655e-06
335,2.9800737,8.8808316
335,2.7471072,7.54659
336,0.004839729,1.551534e-05
337,0.0046159804,1.3399638e-05
338,0.002160556,0
339,0.0080652608,5.7140794e-05
340,0.0012864318,0
341,0.0047309084,1.4473857e-05
342,0.0047666877,1.4813674e-05
343,0.0084615259,6.3689783e-05
344,0.81293611,0.6608572
345,0.0049019551,1.6121526e-05
346,0.0044555502,1.194429e-05
347,0.0025014284,0
347,2.740865,7.5123333
348,0.0026678993,0
349,0.082481358,0.0067952667
350,0.0060979753,2.9277665e-05
351,0.2075423,0.043065899
352,0.00023781675,0
353,0.0014114669,0
354,0.0027345348,0
355,0.0027910719,0
356,0.0048141366,1.5268274e-05
357,0.0091668345,7.6123217e-05
358,0.003601059,5.0599884e-06
359,0.0032083036,2.3855744e-06
360,0.0018123034,0
361,0.0015101037,0
362,0.0013111757,0
363,0.0065082223,3.444932e-05
364,0.00064348287,0
365,0.0032618647,2.7321238e-06
366,0.31612109,0.099924636
367,0.0030951791,1.6724958e-06
368,0.71514132,0.51141921
369,0.0085439281,6.509107e-05
370,0.18136793,0.03288642
371,0.071765581,0.005142391
372,0.0049924901,1.7017319e-05
373,0.00081575036,0
374,0.0039333345,7.563483e-06
375,0.61228991,0.37489103
375,2.9780366,8.8686941
375,2.7585173,7.6094099
376,0.0051508963,1.8624095e-05
377,0.0049585239,1.6679321e-05
378,0.00441115,1.1550606e-05
379,0.0015310828,0
380,0.0012621375,0
381,0.003588528,4.9698957e-06
382,0.0058483099,2.6295091e-05
383,0.0064507748,3.3704858e-05
384,0.0024064504,0
385,0.012827714,0.00015664261
386,0.0024709764,0
386,2.6974427,7.2761894
386,2.7820317,7.7396925
387,0.004596189,1.3217315e-05
388,0.0033541828,3.3429047e-06
388,2.7386156,7.5000073
389,0.9425963,0.88847988
390,0.0029055351,5.3449644e-07
391,0.0040444923,8.4502801e-06
391,2.6824672,7.1956222
391,2.9204929,8.5292709
391,2.7614785,7.6257558
391,2.9778026,8.8673006
392,0.0044154516,1.1588575e-05
393,0.0029498085,7.9373286e-07
394,0.0093723982,7.9934211e-05
395,0.0086439731,6.6810634e-05
396,0.0010211293,0
397,0.0030548783,1.4246441e-06
398,0.22875174,0.052319452
398,2.7654456,7.6476813
399,0.024422269,0.00058853957
400,0.0084914413,6.4196938e-05
401,0.77660033,0.60310016
402,0.0051327308,1.8437288e-05
402,2.9429959,8.6612172
403,0.0087287696,6.8283782e-05
404,0.85613679,0.73296229
405,0.0032074729,2.3802447e-06
406,0.0046883893,1.4073356e-05
407,0.0032928151,2.9349938e-06
408,0.94005233,0.88369047
409,0.0013699031,0
410,0.0048561489,1.5674544e-05
411,0.22018473,0.048473406
412,0.0059717206,2.775381e-05
413,0.004711145,1.4287249e-05
413,2.5508422,6.5067883
414,0.0045240174,1.2559096e-05
415,0.0046123696,1.3366315e-05
416,0.0013194307,0
417,0.00076490653,0
418,0.0084863383,6.4110301e-05
419,0.0035476932,4.6784894e-06
420,0.0045101541,1.2433852e-05
421,0.0072466918,4.4606904e-05
422,0.59172122,0.3501261
423,0.00074864526,0
424,0.005291341,2.0090652e-05
424,2.8788941,8.2880236
425,0.0086758407,6.7362574e-05
426,0.0078462573,5.3656116e-05
427,0.70218505,0.49305594
428,0.0043381501,1.0911909e-05
429,0.010074691,9.3591768e-05
430,0.0012789005,0
431,0.67080441,0.44997065
432,0.00072957074,0
433,0.12145147,0.014742552
434,0.13422989,0.018009757
435,0.12982282,0.016846058
436,0.00059449952,0
437,0.33296215,0.11085588
437,2.787259,7.7688046
438,0.19581564,0.038335858
439,0.17408015,0.03029599
440,0.0020410636,0
441,0.0025315468,0
442,0.0030218481,1.2239284e-06
443,0.92226241,0.85056005
444,0.006704601,3.7044037e-05
445,0.0058128629,2.5881737e-05
445,1.4227056,2.0240833
446,0.0065835045,3.5434893e-05
447,0.0023721131,0
448,0.0044921295,1.227159e-05
449,0.00065611481,0
450,0.0044549723,1.193914e-05
451,0.0025685725,0
452,0.0027809191,0
452,2.9756805,8.8546667
453,1.0762191,1.1582395
454,0.83318856,0.69419528
455,0.0047200559,1.437129e-05
456,0.0032400272,2.5901387e-06
457,0.0068885158,3.9544012e-05
458,0.85607777,0.73286124
459,0.0059928008,2.8006024e-05
460,0.00082468393,0
461,0.0042495112,1.0150707e-05
462,0.41238058,0.17004983
463,0.25969846,0.067435385
464,0.005455984,2.1860124e-05
465,0.012580235,0.00015035467
466,0.0015250624,0
467,0.00015095373,0
468,0.0021861472,0
469,0.40350033,0.16280461
470,0.003539201,4.6183059e-06
471,0.0085620588,6.5401213e-05
472,0.0067296092,3.7380003e-05
473,0.00098749492,0
474,0.010288385,9.794322e-05
475,0.012933822,0.00015937612
476,0.0037357099,6.0478906e-06
477,0.34521541,0.11916577
478,0.60593451,0.36714872
479,0.14103611,0.019883277
480,0.0020371101,0
481,0.004920984,1.6308446e-05
482,0.0037311952,6.0141802e-06
483,0.0039163853,7.4304365e-06
484,0.002069195,0
485,0.008574969,6.5622455e-05
486,0.41677307,0.17369188
487,0.5641915,0.31830415
488,0.33209881,0.11028171
489,0.044979023,0.0020152049
489,2.9271501,8.5682
490,0.0041010869,8.9112765e-06
491,0.0033498253,3.3136919e-06
492,0.2692691,0.072497942
493,0.0041905282,9.6528891e-06
494,0.0044408683,1.1813674e-05
495,0.0040997412,8.9002403e-06
496,0.0016461849,0
497,0.0093335703,7.9207897e-05
498,0.49021837,0.24030615
499,0.00091620968,0
500,0.0096487655,8.5191038e-05
501,0.23401475,0.054754996
502,0.17859171,0.031887092
503,0.095302233,0.009074608
504,0.056414207,0.0031746551
505,0.17195704,0.029561317
506,0.094507507,0.0089237612
507,0.006335795,3.223466e-05
508,0.41786652,0.17460452
509,0.22853529,0.052220473
510,0.30972769,0.095923335
511,0.25197333,0.063482651
512,0.0046556315,1.3767267e-05
513,0.003974262,7.8871205e-06
514,0.0057157535,2.47622e-05
515,0.0028158455,2.1348553e-08
516,0.23853606,0.056891543
517,0.0041444638,9.2689429e-06
518,0.00086899451,0
519,0.0063335507,3.2206226e-05
520,0.0037034623,5.8079951e-06
521,0.0054235406,2.1507155e-05
522,0.51473551,0.26494474
523,0.85748714,0.73527629
524,0.66883782,0.44733612
525,0.0060310795,2.8466283e-05
526,0.00040569771,0
527,0.2141424,0.045849062
527,2.7790027,7.7228479
528,0.0038448078,6.8749095e-06
529,0.0060927362,2.9213797e-05
530,0.83775222,0.70182087
531,0.0088780738,7.0912557e-05
532,0.17324204,0.030004897
533,0.0015751929,0
534,0.0053217755,2.0413657e-05
535,0.0050386487,1.7480343e-05
536,0.5860289,0.34342196
537,0.6323481,0.39985621
538,0.0013138403,0
539,0.0039470832,7.6718283e-06
540,0.012295724,0.0001432772
541,0.65706637,0.43172831
542,0.21874503,0.047841481
543,0.80449406,0.64720279
543,2.8503563,8.1245229
544,0.0040755936,8.7028257e-06
545,0.0054298114,2.1575215e-05
546,0.0022234625,0
546,2.8563638,8.1588062
546,2.8310392,8.0147749
547,0.60715916,0.36863433
548,0.0053330906,2.0534218e-05
549,0.16770322,0.028116461
550,0.16565091,0.027432316
551,0.25786655,0.066487252
552,0.0018510241,0
553,0.0091499801,7.5814498e-05
554,0.0022676047,0
554,2.7409967,7.5130553
555,0.14285403,0.020399366
556,0.22387649,0.050112775
557,0.20393698,0.041582385
558,0.20592469,0.042397072
559,0.23440965,0.054939975
560,0.0018968402,0
561,0.01448,0.00020176277
562,0.0021749173,0
563,0.0011254152,0
564,0.0052155059,1.9293864e-05
565,0.0039957385,8.0582884e-06
566,0.0036924942,5.7268756e-06
567,0.87556327,0.76660313
567,2.8497598,8.1211232
568,0.0027799996,0
569,0.75915888,0.5763143
570,0.78347158,0.6138198
570,2.895414,8.3834142
571,0.25919053,0.067171822
572,0.0032876245,2.9008374e-06
573,0.0080209485,5.6427977e-05
574,0.0027473281,0
575,0.037095571,0.0013681738
576,0.0857413,0.007343663
577,0.0063259654,3.21102e-05
578,0.28857852,0.083269657
579,0.011644193,0.00012767959
580,0.011052011,0.00011423931
581,0.0043648996,1.1144711e-05
582,0.0027676862,0
583,0.0034179436,3.7747008e-06
583,2.8760317,8.2715504
584,0.012618828,0.00015132719
585,0.0050670026,1.7766878e-05
586,0.0022887182,0
587,0.0045269878,1.2585981e-05
588,0.0021229136,0
589,0.0046288729,1.3518827e-05
590,0.19082068,0.036404623
591,0.18375122,0.033756603
592,0.12911706,0.016663307
593,0.11362518,0.012902773
594,0.0012158926,0
595,0.00022968756,0
596,0.003574052,4.8662104e-06
597,0.0020836047,0
598,0.00074110884,0
599,0.0022545228,0
600,0.0017584035,0
601,0.0015274035,0
602,0.14706797,0.02162108
603,0.0022526946,0
604,0.0011594307,0
605,0.9214633,0.84908671
606,0.0011583049,0
607,0.89682764,0.8042919
608,0.008823153,6.9940391e-05
609,0.006057525,2.8785972e-05
610,0.0028757753,3.6244593e-07
611,0.0072500477,4.4655554e-05
612,0.0033466686,3.2925535e-06
613,0.0034681196,4.120216e-06
614,0.0048861936,1.596725e-05
615,0.30459496,0.09277018
616,0.0032933666,2.938626e-06
617,0.011920514,0.00013419102
618,0.0044548851,1.1938363e-05
619,0.2151995,0.046302919
620,0.011546094,0.00012540466
621,0.00392206,7.4749168e-06
622,0.0031523485,2.0296633e-06
623,0.0033081282,3.0360747e-06
624,0.4182364,0.17491377
625,0.53308071,0.28416714
626,0.42711704,0.18242106
627,0.0065166406,3.4558967e-05
628,0.06869011,0.0047104236
629,0.33713034,0.11364896
630,0.40088193,0.16069842
631,0.99137439,0.98281527
632,0.0050343374,1.7436915e-05
633,0.0060487378,2.8679592e-05
634,0.96653255,0.93417727
634,2.9327137,8.6008015
635,0.0041717917,9.4962085e-06
636,0.00965341,8.5280688e-05
637,0.001947023,0
638,0.0021737503,0
639,0.0049580592,1.6674713e-05
640,0.00049126661,0
641,0.0035215217,4.4934775e-06
642,0.0071753719,4.3578325e-05
642,2.8890381,8.3465334
